id,label,comment
1,0,"п3, нет фактов против оценки"
5,1,"П1, оценка против факта опоздания"
6,0,"п3, как пример с дрелью, только догадка"
14,0,"п3, аналогично примеру про дрель"
18,1,"П5, устойчивая формула"
23,0,"п3, нет фактов о реформе"
24,?,"п4, двуликая реплика без ситуации"
25,1,"П4, эксперты в обратном смысле"
29,?,"п4, короткая реплика без ситуации"
34,?,"п4, как Ну ты и мастер"
38,0,"Н2, риторический вопрос"
43,1,"П1, оценка против факта не включился"
44,?,"п4, как Великолепно"
46,0,"Н7, искренняя благодарность"
47,0,самокритика без переворота
49,0,"Н3, едкая но верная констатация"
50,0,"Н3, аналогично тарифу до"
51,0,"п3, нет фактов о задержках"
54,0,"Н4, метафора без переворота"
55,0,"п3, искренняя оценка"
63,?,"п4, как Ну ты и мастер"
64,0,"Н6, кавычки при искренней оценке"
68,?,"п4, как Благодарю очень выручили"
69,0,"Н7, искренняя радость"
76,0,"п3, нет фактов о политике"
77,1,"П5, формула хотели как лучше"
82,1,"П6, автор раскрыл иронию словом шутка"
84,?,"п4, конструкция Ну ты и как в примере мастер"
89,1,"П5, устойчивая формула как спасибо кэп"
90,0,"Н1, самокритика без переворота"
